Metals,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold  USD/t.oz,4684.89,169.65,3.76%,4.74%,-11.98%,8.45%,50.38%,Mar/31
Silver  USD/t.oz,75.244,5.214,7.45%,5.68%,-15.72%,5.59%,123.49%,Mar/31
Copper  USD/Lbs,5.6117,0.1357,2.48%,3.37%,-4.80%,-1.24%,11.68%,Mar/31
Steel  CNY/T,3124.0,20.0,-0.64%,-0.76%,2.12%,0.90%,-2.10%,Mar/31
Lithium  CNY/T,163000.0,1500.0,-0.91%,10.51%,-5.51%,37.55%,119.97%,Mar/31
Iron Ore CNY  CNY/T,808.0,5.0,-0.62%,-1.94%,7.09%,2.34%,2.02%,Mar/31
Platinum  USD/t.oz,1967.9,62.3,3.27%,3.98%,-14.99%,-4.93%,99.34%,Mar/31
HRC Steel  USD/T,1069.0,6.0,0.56%,1.33%,5.22%,14.33%,19.44%,Mar/31
Iron Ore  USD/T,106.32,0.1,0.09%,0.30%,6.52%,-0.76%,3.72%,Mar/30
Silicon  CNY/T,8295.0,135.0,-1.60%,-2.98%,0.18%,-5.47%,-15.87%,Mar/31
Scrap Steel  USD/T,412.0,0.0,0.00%,3.65%,10.01%,12.72%,11.35%,Mar/30
Titanium  CNY/KG,46.5,0.0,0.00%,0.00%,2.20%,1.09%,-3.13%,Mar/31
