Metals,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold  USD/t.oz,4789.27,114.75,2.45%,5.75%,-10.02%,10.87%,51.43%,Apr/01
Silver  USD/t.oz,75.904,0.864,1.15%,6.45%,-14.98%,6.52%,124.72%,Apr/01
Copper  USD/Lbs,5.629,0.0415,0.74%,1.72%,-4.50%,-0.93%,14.89%,Apr/01
Steel  CNY/T,3103.0,22.0,-0.70%,-0.89%,1.44%,0.23%,-2.48%,Apr/01
Lithium  CNY/T,161500.0,1500.0,-0.92%,5.90%,-6.38%,36.29%,117.95%,Apr/01
Iron Ore CNY  CNY/T,812.0,4.0,0.50%,0.68%,7.62%,2.85%,8.56%,Apr/01
Platinum  USD/t.oz,1990.1,19.9,1.01%,3.34%,-14.03%,-3.86%,103.92%,Apr/01
HRC Steel  USD/T,1069.07,0.07,0.01%,0.57%,5.22%,14.34%,16.84%,Apr/01
Iron Ore  USD/T,107.51,1.13,1.06%,1.33%,7.71%,0.35%,5.19%,Apr/01
Silicon  CNY/T,8325.0,30.0,0.36%,-4.31%,0.54%,-5.13%,-15.44%,Apr/01
Scrap Steel  USD/T,409.5,2.5,-0.61%,3.93%,9.35%,12.04%,10.53%,Mar/31
Titanium  CNY/KG,46.5,0.0,0.00%,0.00%,2.20%,1.09%,-3.13%,Apr/01
