SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
KEL,824,"ALLSHR,JSMFI,KMIALLSHR,KSE100,KSE100PR",7.8,7.75,7.79,6.9,7.06,-0.74,-9.49%,96740260
FNEL,813,ALLSHR,1.23,1.23,1.24,1.17,1.18,-0.05,-4.06%,33024724
UNITY,810,"ALLSHR,KSE100,KSE100PR",8.57,8.55,8.65,8.21,8.26,-0.31,-3.62%,25118960
WTL,828,ALLSHR,1.26,1.27,1.27,1.18,1.19,-0.07,-5.56%,23208086
BOP,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",26.64,26.6,26.6,25.6,25.7,-0.94,-3.53%,17078881
FCCL,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",41.98,41.1,41.69,40.3,40.55,-1.43,-3.41%,16085730
CNERGY,825,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",7.08,7.02,7.05,6.79,6.82,-0.26,-3.67%,15293118
PIBTL,833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",15.45,15.45,15.47,14.45,14.56,-0.89,-5.76%,13523948
NCPL,824,ALLSHR,64.65,63.75,63.75,60.56,60.78,-3.87,-5.99%,11768000
NPL,824,"ALLSHR,KSE100,KSE100PR",71.0,69.02,69.98,66.5,66.91,-4.09,-5.76%,9078513
HUMNL,828,"ALLSHR,KSE100,KSE100PR",11.8,11.71,11.79,11.0,11.07,-0.73,-6.19%,6686809
PAEL,803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",39.0,38.6,38.89,36.4,36.63,-2.37,-6.08%,6527362
PACE,838,ALLSHR,10.32,10.25,10.39,9.45,9.53,-0.79,-7.66%,6412814
MLCF,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",85.85,84.1,84.98,80.08,80.65,-5.2,-6.06%,6267655
DGKC,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",170.91,166.45,169.6,162.0,162.73,-8.18,-4.79%,6153714
ANL,829,"ACI,ALLSHR,KMIALLSHR",9.58,9.8,10.42,9.1,9.74,0.16,1.67%,6028452
