SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
BOP,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",25.79,25.64,27.88,25.6,27.55,1.76,6.82%,54733142
WASLR,819,ALLSHR,0.08,0.08,1.08,0.02,0.64,0.56,700.00%,31549329
KEL,824,"ALLSHR,JSMFI,KMIALLSHR,KSE100,KSE100PR",7.41,7.41,7.77,7.41,7.73,0.32,4.32%,26433608
UNITY,810,"ALLSHR,KSE100,KSE100PR",8.43,8.5,8.9,8.4,8.57,0.14,1.66%,16966997
HASCOL,821,ALLSHR,17.29,17.33,18.2,17.33,18.0,0.71,4.11%,13452418
WTL,828,ALLSHR,1.19,1.23,1.26,1.2,1.25,0.06,5.04%,12557340
PACE,838,ALLSHR,9.18,9.26,10.18,9.25,10.18,1.0,10.89%,11199338
NBP,807,"ALLSHR,BKTI,JSGBKTI,JSMFI,KSE100,KSE100PR,KSE30,NBPPGI",190.0,191.0,192.55,178.0,184.57,-5.43,-2.86%,10889865
CNERGY,825,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",6.92,6.9,7.04,6.88,6.98,0.06,0.87%,9856619
NCPL,824,ALLSHR,59.01,59.1,61.9,58.4,60.96,1.95,3.31%,9110029
FNEL,813,ALLSHR,1.16,1.19,1.23,1.16,1.2,0.04,3.45%,8832641
MLCF,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",79.78,80.9,84.31,79.3,83.22,3.44,4.31%,7973035
PAEL,803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",35.05,35.78,38.49,35.3,37.89,2.84,8.10%,7723434
DSL,808,ALLSHR,5.51,5.77,5.77,5.45,5.5,-0.01,-0.18%,7066940
PPL,820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",206.57,208.0,221.5,205.5,219.37,12.8,6.20%,6977036
DGKC,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",150.22,151.77,163.73,149.0,162.82,12.6,8.39%,5895271
FCCL,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",36.87,37.19,40.1,36.9,39.74,2.87,7.78%,5429199
OGDC,820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20",262.64,264.0,281.99,262.01,279.75,17.11,6.52%,5135452
TELE,828,"ALLSHR,KMIALLSHR",7.16,7.16,7.4,7.0,7.2,0.04,0.56%,4445040
PRL,825,"ALLSHR,KMI30,KMIALLSHR",29.36,29.69,30.45,29.2,30.08,0.72,2.45%,4426921
TPLP,838,"ALLSHR,KMIALLSHR",6.84,6.88,7.05,6.8,6.83,-0.01,-0.15%,4272277
PIBTL,833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",13.45,13.5,14.2,13.5,13.99,0.54,4.02%,4211778
NPL,824,ALLSHR,64.05,64.1,67.5,64.03,66.25,2.2,3.44%,4070850
PTC,828,"ALLSHR,JSMFI,KSE100,KSE100PR",50.28,50.99,53.45,50.12,52.31,2.03,4.04%,3522295
KOSM,830,ALLSHR,4.44,4.49,4.76,4.45,4.68,0.24,5.41%,3408257
GATM,829,"ACI,ALLSHR,KMIALLSHR",18.97,18.97,19.07,18.53,18.87,-0.1,-0.53%,3285797
SSGC,821,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",22.5,22.79,23.15,22.06,22.86,0.36,1.60%,3118617
SYS,828,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,NITPGI,UPP9",126.14,126.6,128.17,126.5,127.0,0.86,0.68%,2913835
HUBC,824,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",192.52,193.2,198.49,192.0,197.13,4.61,2.40%,2908602
