SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
CNERGY,825,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",10.05,10.05,10.09,9.6,9.68,-0.37,-0.0368,84544902
KEL,824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",7.93,7.8,7.85,7.45,7.52,-0.41,-0.0517,43532090
WTL,828,ALLSHR,1.28,1.28,1.28,1.22,1.23,-0.05,-0.0391,43315841
BOP,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",35.29,34.98,34.98,32.75,33.05,-2.24,-0.0635,37179484
MLCF,804,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",100.94,98.51,98.9,93.0,93.32,-7.62,-0.0755,27034381
BLUEX,833,"ALLSHR,KMIALLSHR",8.6,8.5,8.5,7.6,7.64,-0.96,-0.1116,26231254
FNEL,813,ALLSHR,1.26,1.24,1.24,1.2,1.2,-0.06,-0.0476,26144115
PIBTL,833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",17.59,17.25,17.3,16.21,16.45,-1.14,-0.0648,24959884
PRL,825,"ALLSHR,KMI30,KMIALLSHR",42.73,42.4,43.2,41.6,42.05,-0.68,-0.0159,21640695
TPLP,838,ALLSHR,11.75,11.45,12.14,10.62,11.03,-0.72,-0.0613,21097518
AGHA,808,ALLSHR,8.0,8.12,8.35,7.9,8.01,0.01,0.0013,19248473
TPL,828,ALLSHR,16.55,16.49,16.55,14.9,15.65,-0.9,-0.0544,15185917
LOTCHEM,805,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",31.63,31.3,31.4,30.1,30.34,-1.29,-0.0408,14499201
PAEL,803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",43.91,42.6,43.0,40.8,41.06,-2.85,-0.0649,13529104
LSECL,813,ALLSHR,7.15,7.09,7.32,6.65,6.77,-0.38,-0.0531,13297697
TSBL,813,ALLSHR,2.0,1.95,2.02,1.88,1.94,-0.06,-0.03,11674936
FCCL,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",54.22,53.45,53.45,50.5,50.91,-3.31,-0.061,11411790
KOSM,830,ALLSHR,5.94,5.91,5.91,5.4,5.47,-0.47,-0.0791,11156803
SLM,802,"ALLSHR,KMIALLSHR",25.0,25.0,25.0,23.69,23.99,-1.01,-0.0404,10450338
HASCOL,821,ALLSHR,20.14,19.9,19.9,18.8,18.86,-1.28,-0.0636,10377462
SPSL,821,"ALLSHR,KMIALLSHR",18.85,18.44,18.7,17.9,17.98,-0.87,-0.0461,10091924
THCCL,804,"ALLSHR,JSMFI,KMIALLSHR",71.14,69.99,69.99,64.11,64.73,-6.41,-0.0901,9264611
TELE,828,"ALLSHR,KMIALLSHR",9.31,9.13,9.25,8.57,8.63,-0.68,-0.073,9015648
PIAHCLA,813,"ALLSHR,JSMFI",29.69,28.55,29.44,27.21,27.64,-2.05,-0.069,8800021
PACE,838,ALLSHR,11.23,11.02,11.2,10.16,10.41,-0.82,-0.073,8726044
OGDC,820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",331.59,330.2,331.1,318.07,319.5,-12.09,-0.0365,8454967
SSGC,821,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",30.69,29.99,29.99,28.1,28.38,-2.31,-0.0753,8280711
TPLRF1,836,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",9.96,9.85,9.85,9.33,9.41,-0.55,-0.0552,7915640
DGKC,804,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",217.3,213.0,213.6,202.5,204.01,-13.29,-0.0612,7776641
PPL,820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",232.42,228.0,230.0,221.8,222.58,-9.84,-0.0423,7341810
JSMFETF,837,,10.56,10.5,10.5,9.83,9.9,-0.66,-0.0625,7150500
AKBL,807,"ALLSHR,KSE100,KSE100PR",111.38,110.0,110.0,101.51,102.86,-8.52,-0.0765,6824954
WAVESAPP,803,ALLSHR,8.66,8.64,8.64,8.15,8.24,-0.42,-0.0485,6793677
PSX,813,"ALLSHR,JSMFI,KSE100,KSE100PR",53.38,52.01,52.8,50.13,50.49,-2.89,-0.0541,6718533
PTC,828,"ALLSHR,KSE100,KSE100PR",69.9,69.0,69.0,66.2,67.11,-2.79,-0.0399,6610253
MZNPETF,837,,17.98,17.98,17.98,17.26,17.32,-0.66,-0.0367,6518000
CLOV,810,"ALLSHR,KMIALLSHR",7.98,8.0,8.0,7.51,7.58,-0.4,-0.0501,6160200
NBP,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,PSXDIV20",205.26,202.99,202.99,195.06,195.83,-9.43,-0.0459,5978437
GCIL,805,"ALLSHR,KMIALLSHR",36.54,36.21,36.21,34.52,35.03,-1.51,-0.0413,5738372
UNITY,810,"ALLSHR,KMIALLSHR",10.05,9.93,9.93,9.55,9.6,-0.45,-0.0448,5370887
FFL,810,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",17.28,17.01,17.17,16.5,16.56,-0.72,-0.0417,5346796
HUBC,824,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",222.78,220.12,221.89,215.26,216.43,-6.35,-0.0285,5244923
BECO,808,"ALLSHR,KMIALLSHR",5.38,5.34,5.4,5.15,5.18,-0.2,-0.0372,5230429
ENGROH,813,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",277.35,274.03,275.0,263.6,265.45,-11.9,-0.0429,4984992
SNBL,807,ALLSHR,25.57,24.85,25.3,23.7,23.85,-1.72,-0.0673,4780275
SBL,807,ALLSHR,13.5,13.0,13.37,12.57,13.07,-0.43,-0.0319,4760068
NCPL,824,ALLSHR,58.97,57.57,57.99,53.4,53.82,-5.15,-0.0873,4733107
BGL,811,ALLSHR,12.87,12.79,13.15,11.79,11.96,-0.91,-0.0707,4612801
SNGP,821,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",110.77,109.5,109.5,102.75,104.5,-6.27,-0.0566,4565479
BAFL,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,PSXDIV20",58.1,57.55,57.8,56.01,56.39,-1.71,-0.0294,4534448
GTYR,802,"ALLSHR,KMIALLSHR",31.98,31.95,35.18,31.01,35.18,3.2,0.1001,4302087
GGL,805,"ALLSHR,KMIALLSHR",24.68,24.01,24.44,22.7,22.77,-1.91,-0.0774,4182411
BNL,810,"ALLSHR,KMIALLSHR",6.97,6.7,6.89,6.6,6.66,-0.31,-0.0445,4141540
SLGL,833,"ALLSHR,KMIALLSHR",17.04,16.65,16.77,15.7,15.83,-1.21,-0.071,4126387
JSBL,807,ALLSHR,14.89,14.27,14.5,13.52,13.7,-1.19,-0.0799,3999255
LSEVL,813,ALLSHR,13.64,13.47,13.7,12.32,12.61,-1.03,-0.0755,3944196
TBL,802,ALLSHR,10.41,10.15,10.25,9.75,9.83,-0.58,-0.0557,3781164
TRG,828,"ALLSHR,KSE100,KSE100PR",64.07,63.1,63.5,57.66,58.81,-5.26,-0.0821,3691786
SELECT,828,"ALLSHR,KMIALLSHR",31.59,30.51,30.9,28.6,28.8,-2.79,-0.0883,3641129
SHNI,812,ALLSHR,9.75,9.48,10.19,8.75,9.38,-0.37,-0.0379,3495568
DFSM,830,"ALLSHR,KMIALLSHR",21.01,20.85,20.85,18.91,18.91,-2.1,-0.0999,3447560
SYM,828,"ALLSHR,KMIALLSHR",11.63,11.41,11.54,11.11,11.4,-0.23,-0.0198,3164630
PSO,821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",356.66,355.44,355.44,345.05,346.59,-10.07,-0.0282,3052818
AHCL,809,"ALLSHR,KSE100,KSE100PR,PSXDIV20",15.5,15.0,15.35,14.75,14.85,-0.65,-0.0419,2945981
DCL,804,"ALLSHR,KMIALLSHR",11.62,11.45,11.55,10.76,11.0,-0.62,-0.0534,2930840
TREET,810,"ALLSHR,KMI30,KMIALLSHR",24.24,23.99,23.99,22.76,22.85,-1.39,-0.0573,2881594
UBL,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",476.41,470.05,472.49,451.0,453.98,-22.43,-0.0471,2786078
TOMCL,810,"ALLSHR,JSMFI,KMIALLSHR",40.04,39.0,39.51,36.66,37.08,-2.96,-0.0739,2777652
SEARL,823,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",94.11,92.7,93.0,90.3,90.47,-3.64,-0.0387,2688843
GDL,810,"ALLSHR,KMIALLSHR",19.92,19.71,19.8,17.98,18.21,-1.71,-0.0858,2678820
SGPL,824,"ALLSHR,KMIALLSHR",117.04,116.86,120.0,114.0,117.9,0.86,0.0074,2629366
LUCK,804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",459.46,455.0,456.9,437.0,438.68,-20.78,-0.0452,2616052
FFC,809,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",556.15,553.01,553.01,540.09,543.22,-12.93,-0.0232,2613575
WASL,819,"ALLSHR,KMIALLSHR",5.93,5.93,5.99,5.7,5.76,-0.17,-0.0287,2612706
HIRAT,830,ALLSHR,7.0,6.91,6.92,6.26,6.36,-0.64,-0.0914,2336623
POWER,804,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",21.73,21.11,21.4,20.7,20.74,-0.99,-0.0456,2286466
HBL,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",310.93,305.56,307.44,297.01,298.04,-12.89,-0.0415,2264948
ICIBL,813,ALLSHR,24.24,21.82,23.99,21.82,21.82,-2.42,-0.0998,2233008
GAL,801,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",606.42,595.05,603.0,555.0,557.83,-48.59,-0.0801,2210807
MDTL,828,ALLSHR,5.84,5.81,5.84,5.5,5.56,-0.28,-0.0479,2141551
WAVES,803,"ALLSHR,KMIALLSHR",10.77,10.6,10.69,10.24,10.29,-0.48,-0.0446,2130405
OBOY,821,ALLSHR,17.41,17.36,17.36,15.71,16.03,-1.38,-0.0793,2118124
NML,829,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,MII30",151.47,149.0,149.9,143.2,144.59,-6.88,-0.0454,2103900
GCWL,805,"ALLSHR,KMIALLSHR",17.01,16.8,16.8,15.76,16.4,-0.61,-0.0359,2101448
EFERT,809,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,PSXDIV20,UPP9",194.13,193.5,193.62,187.5,189.01,-5.12,-0.0264,2047602
LOADS,802,"ALLSHR,KMIALLSHR",14.25,14.02,14.05,13.6,13.66,-0.59,-0.0414,2041677
YOUW,831,"ALLSHR,KSE100,KSE100PR",5.6,5.6,5.6,5.01,5.18,-0.42,-0.075,1998396
MIIETF,837,,16.88,16.85,16.85,16.25,16.28,-0.6,-0.0355,1951000
HCAR,801,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",241.22,240.1,253.01,237.0,240.43,-0.79,-0.0033,1881274
SPEL,822,"ALLSHR,KMIALLSHR",53.4,51.95,51.95,48.06,48.6,-4.8,-0.0899,1848300
JVDC,838,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",151.04,147.0,148.5,140.1,142.49,-8.55,-0.0566,1832084
IREIT,836,"ALLSHR,KMIALLSHR",8.12,8.08,8.1,7.84,7.88,-0.24,-0.0296,1800874
PASL,813,ALLSHR,2.61,2.65,2.65,2.4,2.44,-0.17,-0.0651,1798899
